MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Curve class,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Hill slope,MERS-CoV-MPro_fluorescence-dose-response_weizmann: pIC50,MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Standard Deviation (±),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM) Count,Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
> 99.500,,,,,< 4.0,3.97,,1.0,ASAP-0011362,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1CCC1 |&1:18|,2023-06-13
> 99.500,,,,,< 4.0,4.32,,1.0,ASAP-0011356,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1N1C=CN=C1 |&1:1,&2:19|",2023-06-13
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0011384,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=NC=N2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0011351,CC1=CC(O[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=CC=N1 |&1:5|,2023-06-13
> 99.500,,,,,< 4.0,6.69,,1.0,ASAP-0011353,CN1CCC[C@]12CCCN(C(=O)CC1=CN=CC3=CC=CC=C13)C2 |&1:5|,2023-06-13
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0011263,CN1C=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,2023-06-13
> 99.500,,,,,< 4.0,4.0,,1.0,ASAP-0011260,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCCC2)C1,2023-06-13
> 99.500,,,,,< 4.0,4.05,,1.0,ASAP-0011268,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2CCC2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0011370,CC1=CC=C(O[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=N1 |&1:6|,2023-06-13
> 99.500,,,,,< 4.0,8.62,,1.0,ASAP-0011250,"C[C@H](CO)C[C@H]1CN(C(=O)CO)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",2023-06-13
> 99.500,,,3.0,10.423,< 4.0,4.23,,1.0,ASAP-0011346,"C[C@H](CO)C[C@H]1CN(C(=O)CCl)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",2023-06-13
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0011255,C[C@]1(C2=CC=CN=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,2023-06-13
> 99.500,,,,,< 4.0,4.32,,1.0,ASAP-0011269,O=C(CC1=CN=CC2=CC=CC=C12)N1CCO[C@H](C2=CSC=C2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.88,,1.0,ASAP-0011241,O=C(CC1=CN=CC2=CC=CC=C12)N1CCS[C@H](C2=CC=CC=C2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.04,,1.0,ASAP-0011245,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCSC[C@H]1C(F)(F)F |&1:19|,2023-06-13
> 99.500,,,,,< 4.0,4.35,,1.0,ASAP-0011239,O=C([C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCSCC1 |&1:2|,2023-06-13
> 99.500,,,,,< 4.0,3.97,,1.0,ASAP-0011320,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(Cl)=C2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0011366,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=CN=C2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0011266,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C[C@H]2CCCO2)C1 |&1:16,&2:18|",2023-06-13
> 99.500,,,,,< 4.0,4.34,,1.0,ASAP-0011371,O=C([C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCCCC1 |&1:2|,2023-06-13
> 99.500,,,,,< 4.0,4.35,,1.0,ASAP-0011276,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CC=N2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0011322,CC1=CC=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:6|,2023-06-13
> 99.500,,,,,< 4.0,4.25,,1.0,ASAP-0011373,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CN2C=CN=N2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,9.0,,1.0,ASAP-0011328,CC1=NNC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:5|,2023-06-13
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0011329,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CN=CO2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.99,,1.0,ASAP-0011332,N#CC1=CC=C2C(=C1)OC1=C(F)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,2023-06-13
(IC50 could not be calculated),,,,,,5.29,,1.0,ASAP-0011246,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC3=C2SC=C3)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-06-13
> 99.500,,,,,< 4.0,4.49,,1.0,ASAP-0011336,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CS2)CC1,2023-06-13
> 99.500,,,,,< 4.0,9.0,,1.0,ASAP-0011278,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC2=NC=CC=N2)C1 |&1:17|,2023-06-13
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0011325,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CN=CO2)CC1,2023-06-13
> 99.500,,,,,< 4.0,4.39,,1.0,ASAP-0011334,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2CCC2)CC1,2023-06-13
> 99.500,,,,,< 4.0,4.24,,1.0,ASAP-0011273,CN1C=C([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=N1 |&1:4|,2023-06-13
(IC50 could not be calculated),,,,,,4.59,,1.0,ASAP-0011324,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCC2)CC1,2023-06-13
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0011342,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OCC2=CC=CC=C2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,4.97,,1.0,ASAP-0011382,CC1=CSC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:5|,2023-06-13
> 99.500,,,,,< 4.0,4.26,,1.0,ASAP-0011378,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=NC=C2)C1 |&1:16|,2023-06-13
> 99.500,,,,,< 4.0,9.0,,1.0,ASAP-0011376,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CC=NC=C2)C1,2023-06-13
> 99.500,,,,,< 4.0,4.29,,1.0,ASAP-0011272,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CCC2=CC=CC=C2)C1,2023-06-13
> 99.500,,,,,< 4.0,4.31,,1.0,ASAP-0011187,COC1=CC=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|,2023-06-07
(IC50 could not be calculated),,,,,,5.28,,1.0,ASAP-0011233,CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,2023-06-07
(IC50 could not be calculated),,,,,,5.11,,1.0,ASAP-0011181,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC(C)(C)C)C(=O)C1=CC=C(F)C=C12,2023-06-07
(IC50 could not be calculated),,,,,,4.56,,1.0,ASAP-0011194,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCC1 |&1:17|,2023-06-07
9.012,0.000,150253531.671,1.3,5.511,5.0,5.99,,1.0,ASAP-0011200,N#CCC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,2023-06-07
9.624,0.000,27823207771889537024.000,1.3,7.498,5.0,5.65,,1.0,ASAP-0011202,COC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,2023-06-07
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0011206,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=NC=N2)C1 |&1:16|,2023-06-07
> 99.500,,,,,< 4.0,5.21,,1.0,ASAP-0011195,CC(C)(C#N)C1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,2023-06-07
> 99.500,,,,,< 4.0,4.0,,1.0,ASAP-0011155,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCC2)CC1,2023-06-07
> 99.500,,,,,< 4.0,4.31,,1.0,ASAP-0011179,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CC=C2)CC1,2023-06-07
> 99.500,,,,,< 4.0,4.59,,1.0,ASAP-0011160,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(C2CCCCC2)C1,2023-06-07
> 99.500,,,,,< 4.0,3.56,,1.0,ASAP-0011157,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCC2)C1,2023-06-07
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0011151,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](COC2=CC=CC=C2)C1 |&1:16|,2023-06-07
(IC50 could not be calculated),,,,,,4.58,,1.0,ASAP-0011173,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=C(C=CS2)C1,2023-06-07
(IC50 could not be calculated),,,,,,5.13,,1.0,ASAP-0011164,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCC2)CC1,2023-06-07
> 99.500,,,,,< 4.0,4.03,,1.0,ASAP-0011191,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC2CC2)C1 |&1:17|,2023-06-07
(IC50 could not be calculated),,,,,,4.61,,1.0,ASAP-0011148,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC1=CC=CC=C1 |&1:18|,2023-06-07
(IC50 could not be calculated),,,,,,5.38,,1.0,ASAP-0011175,CC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:2|,2023-06-07
> 99.500,,,,,< 4.0,5.12,,1.0,ASAP-0011145,N#CC1=CC=C2C(=C1)OC1=C(Cl)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,2023-06-07
> 99.500,,,,,< 4.0,3.6,,1.0,ASAP-0011232,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC(F)=CC(F)=C1 |&1:17|,2023-06-07
> 99.500,,,,,< 4.0,4.31,,1.0,ASAP-0011214,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CC(F)=C2)CC1,2023-06-07
> 99.500,,,,,< 4.0,4.21,,1.0,ASAP-0011231,CN(C)C1=CC=CC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:8|,2023-06-07
> 99.500,,,,,< 4.0,4.33,,1.0,ASAP-0011220,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(C(F)F)C=C2)C1 |&1:16|,2023-06-07
> 99.500,,,,,< 4.0,3.7,,1.0,ASAP-0011225,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2CCCCC2)C1 |&1:16|,2023-06-07
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0011224,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H](F)C2=CC=CC=C2F)CC1 |&1:17|,2023-06-07
> 99.500,,,,,< 4.0,4.45,,1.0,ASAP-0011223,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC2=CC=CC=C2C1,2023-06-07
> 99.500,,,,,< 4.0,3.7,,1.0,ASAP-0011222,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CS2)C1 |&1:21|,2023-06-07
> 99.500,,,,,< 4.0,3.7,,1.0,ASAP-0011218,CC1=CC=C(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:6|,2023-06-07
> 99.500,,,,,< 4.0,4.3,,1.0,ASAP-0011216,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=C(Cl)C=C2)C1 |&1:16|,2023-06-07
> 99.500,,,,,< 4.0,3.88,,1.0,ASAP-0011212,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CCC(F)(F)C2,2023-06-07
> 99.500,,,,,< 4.0,4.28,,1.0,ASAP-0011209,CC1=NN(C2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C=C1,2023-06-07
> 99.500,,,,,< 4.0,4.3,,1.0,ASAP-0011227,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NC=CO2)C1 |&1:17|,2023-06-07
> 99.500,,,,,< 4.0,4.92,,1.0,ASAP-0011226,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC=C2)C1 |&1:17|,2023-06-07
(IC50 could not be calculated),,,,,,5.59,,1.0,ASAP-0011165,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCCF)C2=CC(F)=CC=C2C1=O,2023-06-07
> 99.500,,,,,< 4.0,4.89,,1.0,ASAP-0011228,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCCC2)CC1,2023-06-07
> 99.500,,,,,< 4.0,4.32,,1.0,ASAP-0011229,O=C1CCCN1C[C@@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12,2023-06-07
> 99.500,,,,,< 4.0,4.24,,1.0,ASAP-0011230,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=C1 |&1:17|,2023-06-07
(IC50 could not be calculated),,,,,,5.58,0.27,2.0,ASAP-0011139,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC#N)C2=CC(F)=CC=C2C1=O,2023-05-30
(IC50 could not be calculated),,,,,,4.61,0.182,2.0,ASAP-0011135,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC(F)=C2OC2=CC=CC=C21,2023-05-30
(IC50 could not be calculated),,,,,,6.94,3.06,2.0,ASAP-0011142,CC1=C(NC(=O)[C@H](CB2OC(C)(C)C(C)(C)O2)NC(=O)OC(C)(C)C)C=CC(Br)=C1Cl |&1:6|,2023-05-30
16.654,2.923,94.877,1.3,3.417,4.8,5.12,0.356,2.0,ASAP-0011133,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC(C)(C)C)C(=O)C1=CC=C(Cl)C=C12,2023-05-30
(IC50 could not be calculated),,,,,,5.64,0.107,2.0,ASAP-0011143,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN1CC(=O)NN=C1C1=CC=C(Cl)C=C12,2023-05-30
2.527,1.082,5.902,1.3,4.435,5.6,6.16,0.0256,2.0,ASAP-0011141,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(Cl)C=C12,2023-05-30
(IC50 could not be calculated),,,,,,5.44,0.145,2.0,ASAP-0011140,CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,2023-05-30
54.690,49.230,60.754,2.1,1.587,4.3,4.45,,1.0,ASAP-0011130,CC(=O)C1=CC=CC(CN2CCN(C(=O)COS(=O)(=O)N3CCOCC3)C[C@H]2CC(C)C)=C1 |&1:27|,2023-05-23
1.854,0.302,11.367,1.3,2.579,5.7,6.44,,1.0,ASAP-0011129,CNC(=O)C1(N2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)CC1,2023-05-23
> 99.500,,,,,< 4.0,5.28,,1.0,ASAP-0011131,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC3=C2OC=C3)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-23
> 99.500,,,,,< 4.0,4.27,,1.0,ASAP-0011126,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(C1CC1)C2,2023-05-23
> 99.500,,,,,< 4.0,4.03,,1.0,ASAP-0011128,"O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)[C@]12CC[C@H](C1)N(CC1COC1)C2 |&1:22,&2:25|",2023-05-23
27.342,5.512,135.635,2.3,3.0,4.6,5.24,,1.0,ASAP-0011067,CN1C(=O)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C21 |o1:4|,2023-05-17
> 99.500,,,,,< 4.0,4.34,,1.0,ASAP-0011065,CN1C(=O)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C21 |o1:4|,2023-05-17
> 99.500,,,,,< 4.0,5.42,0.00236,2.0,ASAP-0011040,C=CC(=O)N1CCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2023-05-06
10.203,2.155,48.302,2.3,2.89,5.0,5.68,,1.0,ASAP-0011044,C=CC(=O)NC1=CC=C(F)C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-06
> 99.500,,,,,< 4.0,4.99,,1.0,ASAP-0011042,C=CC(=O)NC1=CC=CC(N(CC2=CC=C(Cl)C=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-06
25.979,10.348,65.219,1.3,2.881,4.6,5.05,,1.0,ASAP-0011043,C=CC(=O)NC1=CC=CC(N(CC2=CC(Cl)=CC=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-06
1.281,1.021,1.607,1.1,1.265,5.9,6.23,,1.0,ASAP-0011041,C=CC(=O)N(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-06
> 99.500,,,,,< 4.0,4.17,,1.0,ASAP-0011039,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(CC1COC1)C2,2023-05-06
> 99.500,,,,,< 4.0,4.96,,1.0,ASAP-0011026,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=CC=CC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-01
> 99.500,,,,,< 4.0,3.43,,1.0,ASAP-0010910,CN1C(=O)C2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |&1:11|,2023-05-01
44.987,18.031,112.243,2.3,3.284,4.3,4.76,,1.0,ASAP-0010940,O=C1N[C@]2(CCOC3=CC=C(C(F)F)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,2023-05-01
6.598,2.733,15.932,1.3,4.295,5.2,5.58,,1.0,ASAP-0011017,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=COC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-01
17.435,4.549,66.818,1.3,2.172,4.8,5.41,,1.0,ASAP-0010750,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:52|",2023-04-25
6.423,3.234,12.758,1.1,0.56,5.2,4.67,0.464,3.0,ASAP-0010753,"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:25,31|",2023-04-25
24.383,6.068,97.976,2.3,2.282,4.6,5.42,,1.0,ASAP-0010742,CN[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:7|,2023-04-25
45.257,13.850,147.879,2.3,2.85,4.3,4.94,,1.0,ASAP-0010746,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:46|",2023-04-25
> 99.500,,,,,< 4.0,4.89,0.385,3.0,ASAP-0010748,"O=C1CC[C@H](N2C(=O)C3=CC=C(N4CCN(C5=CC=C(NC(=O)CN6CC7=CC=C(Cl)C=C7[C@H](C(=O)NC7=CN=CC8=CC=CC=C78)C6)C=C5)CC4)C=C3C2=O)C(=O)N1 |&1:4,&2:33|",2023-04-25
> 99.500,,,,,< 4.0,5.05,,1.0,ASAP-0010751,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCNC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:49|",2023-04-25
5.901,3.419,10.186,1.1,2.743,5.2,5.09,0.0912,2.0,ASAP-0010726,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC(Cl)=CC2=CC=CC=C12 |&1:4|,2023-04-21
17.595,1.567,197.504,2.3,2.593,4.8,5.42,0.0396,2.0,ASAP-0010736,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:49|",2023-04-21
> 99.500,,,4.0,1.121,< 4.0,5.03,,1.0,ASAP-0010735,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:45|",2023-04-21
11.409,2.299,56.621,1.3,1.805,4.9,5.89,0.024,2.0,ASAP-0010734,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:43|",2023-04-21
96.490,84.340,110.390,2.1,2.142,4.0,4.77,0.734,4.0,ASAP-0010724,CC(=O)N1CCN(S(=O)(=O)OCC(=O)N2CCN(CC3=CC=CC(Cl)=C3)[C@H](CC(C)C)C2)CC1 |&1:26|,2023-04-21
87.909,73.325,105.392,2.1,1.413,4.1,4.79,0.532,4.0,ASAP-0010721,"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CCCC[C@H]21 |&1:25,&2:30|",2023-04-21
27.022,5.010,145.730,1.3,4.141,4.6,5.06,0.0595,2.0,ASAP-0010722,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C/C2=C\F)C2=CC(Cl)=CC=C2C1=O |&1:7|,2023-04-21
11.310,1.195,107.062,2.3,2.765,4.9,5.73,0.0516,2.0,ASAP-0010711,CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,2023-04-21
22.615,6.175,82.822,1.3,2.709,4.6,5.28,0.0359,2.0,ASAP-0010725,C=C1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@]12CN(CC1=CC=C(OC)C=C1OC)C(=O)C1=CC=C(F)C=C12 |&1:16|,2023-04-21
> 99.500,,,3.0,2.627,< 4.0,4.44,0.471,4.0,ASAP-0010719,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(F)=C1 |&1:4|,2023-04-21
19.955,5.553,71.714,1.3,2.34,4.7,5.4,0.0818,2.0,ASAP-0010714,CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,2023-04-21
11.791,2.482,56.024,2.3,2.904,4.9,5.68,,1.0,ASAP-0008672,CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,2023-04-16
94.830,47.035,191.191,3.0,4.065,4.0,4.52,,1.0,ASAP-0008667,CNC(=O)[C@@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,2023-04-16
19.166,3.085,119.070,1.3,2.369,4.7,5.52,,1.0,ASAP-0008669,C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,2023-04-16
33.323,8.324,133.392,2.3,3.106,4.5,5.11,,1.0,ASAP-0008671,CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,2023-04-16
13.551,3.204,57.304,2.3,2.815,4.9,5.48,,1.0,ASAP-0008675,CNCCN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:6|,2023-04-16
> 99.500,,,,,< 4.0,3.88,,1.0,ASAP-0008677,C[C@@H](C(=O)N(C)CC1=CC=CC(Cl)=C1F)C1=CN=CC2=CC=CC=C12,2023-04-16
53.045,23.596,119.248,2.3,3.581,4.3,4.73,,1.0,ASAP-0008661,"CNC(=O)CN1C[C@@]2(C[C@H](CO)N(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |&1:7,9|",2023-04-16
> 99.500,,,,,< 4.0,5.44,,1.0,ASAP-0008659,O=C(NCC1=CC=CS1)[C@@H]1CN(C(=O)C2=CN=CC3=CC=CC=C23)CCN1C1=CC=C(Cl)C(Cl)=C1,2023-04-16
