SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Lower) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: IC50 CI (Upper) (µM),SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: Hill slope,SARS-CoV-2-MPro_fluorescence-dose-response_weizmann: pIC50 (log10M),Molecule Name,CXSMILES (CDD Compatible),Batch Created Date
9.260,7.938,10.803,1.294,5.03,ASAP-0011268,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2CCC2)C1 |&1:16|,2023-06-13
0.093,0.081,0.106,1.325,7.03,ASAP-0011368,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1(F)CC1)C(=O)C1=CC=C(Cl)C=C12,2023-06-13
27.513,23.566,32.121,1.276,4.56,ASAP-0011269,O=C(CC1=CN=CC2=CC=CC=C12)N1CCO[C@H](C2=CSC=C2)C1 |&1:17|,2023-06-13
4.237,3.323,5.401,0.81,5.37,ASAP-0011415,N#CC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,2023-06-13
7.815,7.033,8.683,1.24,5.11,ASAP-0011285,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=C1 |&1:18|,2023-06-13
0.364,0.238,0.558,0.769,6.44,ASAP-0011338,O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,2023-06-13
5.395,4.623,6.295,1.237,5.27,ASAP-0011235,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CS1 |&1:18|,2023-06-13
13.082,11.212,15.265,1.255,4.88,ASAP-0011254,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CC1 |&1:17|,2023-06-13
47.976,40.544,56.77,1.32,4.32,ASAP-0011262,CC1=CC=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C=C1 |&1:5|,2023-06-13
28.190,24.255,32.764,1.382,4.55,ASAP-0011246,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC3=C2SC=C3)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-06-13
2.578,2.325,2.857,1.225,5.59,ASAP-0011290,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCC1 |&1:17|,2023-06-13
17.481,15.634,19.545,1.245,4.76,ASAP-0011314,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CCC(F)(F)F)C1 |&1:17|,2023-06-13
1.023,0.942,1.112,1.251,5.99,ASAP-0011324,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCC2)CC1,2023-06-13
63.227,56.181,71.157,1.358,4.2,ASAP-0011276,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CC=N2)C1 |&1:17|,2023-06-13
28.553,24.745,32.946,1.223,4.54,ASAP-0011272,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CCC2=CC=CC=C2)C1,2023-06-13
87.121,77.83,97.521,1.296,4.06,ASAP-0011329,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CN=CO2)C1 |&1:17|,2023-06-13
14.554,12.58,16.837,1.269,4.84,ASAP-0011280,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C3=CC=CC=C3C[C@H]2C1 |&1:25|,2023-06-13
15.350,13.458,17.509,1.122,4.81,ASAP-0011332,N#CC1=CC=C2C(=C1)OC1=C(F)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,2023-06-13
13.723,9.773,19.269,1.0,4.86,ASAP-0011336,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CS2)CC1,2023-06-13
55.472,50.15,61.358,1.332,4.26,ASAP-0011283,CN1N=CC=C1[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:6|,2023-06-13
88.949,54.485,145.215,1.883,4.05,ASAP-0011340,O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,2023-06-13
0.481,0.364,0.634,1.747,6.32,ASAP-0011346,"C[C@H](CO)C[C@H]1CN(C(=O)CCl)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",2023-06-13
24.461,20.52,29.158,1.287,4.61,ASAP-0011362,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1CCC1 |&1:18|,2023-06-13
16.886,15.509,18.385,1.22,4.77,ASAP-0011364,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)C[C@H]1C1=CC=CC=C1 |&1:15,&2:18|",2023-06-13
48.367,44.666,52.375,1.207,4.32,ASAP-0011382,CC1=CSC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:5|,2023-06-13
80.079,74.24,86.377,1.351,4.1,ASAP-0011385,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CN=C2)C1 |&1:16|,2023-06-13
64.989,56.316,74.998,1.432,4.19,ASAP-0011390,CC1=CSC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,2023-06-13
57.786,51.229,65.182,1.391,4.24,ASAP-0011398,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=N1 |&1:17|,2023-06-13
97.492,84.009,113.139,1.563,4.01,ASAP-0011400,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CN=C2C=CC=CC2=C1 |&1:17|,2023-06-13
67.859,46.454,99.128,0.849,4.17,ASAP-0011402,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](C2=CC=CC=C2)O[C@H](C2=CC=C(F)C=C2)C1 |&1:15,&2:23|",2023-06-13
50.902,43.389,59.716,1.267,4.29,ASAP-0011404,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CS2)C1 |&1:16|,2023-06-13
47.229,41.687,53.507,1.322,4.33,ASAP-0011405,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NC=CS2)C1 |&1:17|,2023-06-13
29.331,24.832,34.644,1.233,4.53,ASAP-0011412,O=C(CC1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=CC=CS1 |&1:18|,2023-06-13
10.797,9.975,11.688,1.168,4.97,ASAP-0011334,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2CCC2)CC1,2023-06-13
87.683,76.177,100.926,1.335,4.06,ASAP-0011304,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(O)C=C2)C1 |&1:16|,2023-06-13
76.787,66.959,88.058,1.259,4.11,ASAP-0011298,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CC=N1 |&1:17|,2023-06-13
39.795,37.001,42.799,1.261,4.4,ASAP-0011325,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CN=CO2)CC1,2023-06-13
86.956,76.873,98.361,1.311,4.06,ASAP-0011322,CC1=CC=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:6|,2023-06-13
9.207,8.319,10.189,1.286,5.04,ASAP-0011320,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(Cl)=C2)C1 |&1:16|,2023-06-13
11.445,10.57,12.392,1.246,4.94,ASAP-0011318,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2CCC2)C1,2023-06-13
10.417,9.441,11.493,1.22,4.98,ASAP-0011312,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=CC(Cl)=C2)C1 |&1:16|,2023-06-13
95.060,86.373,104.621,1.426,4.02,ASAP-0011309,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CO2)C1 |&1:16|,2023-06-13
23.308,20.966,25.912,1.205,4.63,ASAP-0011308,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(C2=CC=CC=C2)CC1,2023-06-13
28.385,24.784,32.509,1.214,4.55,ASAP-0011306,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@](F)(C2=CC=CC=C2)C1 |&1:17|,2023-06-13
6.770,5.924,7.737,1.267,5.17,ASAP-0011288,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)C1 |&1:17|,2023-06-13
17.371,15.884,18.997,1.234,4.76,ASAP-0011300,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)[C@H](C2=CC=CC=C2)C1 |&1:15,17|",2023-06-13
10.255,9.473,11.102,1.226,4.99,ASAP-0011292,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC(F)(F)F)C1 |&1:17|,2023-06-13
3.704,3.354,4.091,1.234,5.43,ASAP-0011294,O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](CF)C2(CCCC2)C1 |&1:15|,2023-06-13
53.358,47.303,60.187,1.269,4.27,ASAP-0011296,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC(F)=CC=C2F)CC1,2023-06-13
18.195,16.55,20.004,1.153,4.74,ASAP-0011226,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC=C2)C1 |&1:17|,2023-06-07
66.133,59.891,73.027,1.222,4.18,ASAP-0011220,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(C(F)F)C=C2)C1 |&1:16|,2023-06-07
31.589,29.576,33.739,1.182,4.5,ASAP-0011224,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H](F)C2=CC=CC=C2F)CC1 |&1:17|,2023-06-07
27.589,25.289,30.098,1.139,4.56,ASAP-0011222,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CS2)C1 |&1:21|,2023-06-07
5.820,5.346,6.336,1.171,5.24,ASAP-0011223,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC2=CC=CC=C2C1,2023-06-07
5.473,5.015,5.973,1.145,5.26,ASAP-0011225,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2CCCCC2)C1 |&1:16|,2023-06-07
10.120,9.37,10.93,1.198,4.99,ASAP-0011230,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=C1 |&1:17|,2023-06-07
75.337,68.565,82.777,1.223,4.12,ASAP-0011227,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NC=CO2)C1 |&1:17|,2023-06-07
4.513,4.129,4.933,1.167,5.35,ASAP-0011228,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCCC2)CC1,2023-06-07
56.023,51.53,60.907,1.235,4.25,ASAP-0011216,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=C(Cl)C=C2)C1 |&1:16|,2023-06-07
46.099,43.398,48.968,1.247,4.34,ASAP-0011231,CN(C)C1=CC=CC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:8|,2023-06-07
1.854,1.684,2.041,1.176,5.73,ASAP-0011232,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC(F)=CC(F)=C1 |&1:17|,2023-06-07
28.244,24.07,33.141,1.099,4.55,ASAP-0011218,CC1=CC=C(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:6|,2023-06-07
2.152,2.019,2.293,1.177,5.67,ASAP-0011155,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCC2)CC1,2023-06-07
19.717,17.717,21.942,1.19,4.71,ASAP-0011214,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CC(F)=C2)CC1,2023-06-07
1.441,1.338,1.553,1.305,5.84,ASAP-0011173,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=C(C=CS2)C1,2023-06-07
27.764,25.314,30.452,1.197,4.56,ASAP-0011157,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCC2)C1,2023-06-07
3.699,3.326,4.113,1.223,5.43,ASAP-0011212,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CCC(F)(F)C2,2023-06-07
0.292,0.271,0.316,1.195,6.53,ASAP-0011181,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC(C)(C)C)C(=O)C1=CC=C(F)C=C12,2023-06-07
0.224,0.21,0.24,1.141,6.65,ASAP-0011233,CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,2023-06-07
0.520,0.484,0.558,1.173,6.28,ASAP-0011175,CC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:2|,2023-06-07
31.100,28.754,33.638,1.219,4.51,ASAP-0011148,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC1=CC=CC=C1 |&1:18|,2023-06-07
0.110,0.104,0.117,1.153,6.96,ASAP-0011165,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCCF)C2=CC(F)=CC=C2C1=O,2023-06-07
1.620,1.537,1.707,1.19,5.79,ASAP-0011164,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCC2)CC1,2023-06-07
7.117,6.494,7.8,1.213,5.15,ASAP-0011194,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCC1 |&1:17|,2023-06-07
18.336,16.917,19.874,1.179,4.74,ASAP-0011160,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(C2CCCCC2)C1,2023-06-07
79.487,73.396,86.084,1.286,4.1,ASAP-0011151,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](COC2=CC=CC=C2)C1 |&1:16|,2023-06-07
32.407,29.733,35.322,1.228,4.49,ASAP-0011179,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CC=C2)CC1,2023-06-07
37.455,34.401,40.78,1.205,4.43,ASAP-0011187,COC1=CC=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|,2023-06-07
1.213,1.117,1.317,1.286,5.92,ASAP-0011202,COC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,2023-06-07
15.194,13.732,16.812,1.224,4.82,ASAP-0011191,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC2CC2)C1 |&1:17|,2023-06-07
0.637,0.559,0.727,1.226,6.2,ASAP-0011195,CC(C)(C#N)C1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,2023-06-07
0.925,0.826,1.035,1.16,6.03,ASAP-0011200,N#CCC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,2023-06-07
0.443,0.365,0.537,1.227,6.35,ASAP-0011143,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN1CC(=O)NN=C1C1=CC=C(Cl)C=C12,2023-05-30
0.059,0.051,0.069,1.272,7.23,ASAP-0011141,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(Cl)C=C12,2023-05-30
0.295,0.243,0.357,1.348,6.53,ASAP-0011140,CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,2023-05-30
0.170,0.133,0.216,1.043,6.77,ASAP-0011139,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC#N)C2=CC(F)=CC=C2C1=O,2023-05-30
0.642,0.463,0.89,1.415,6.19,ASAP-0011133,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC(C)(C)C)C(=O)C1=CC=C(Cl)C=C12,2023-05-30
5.557,3.519,8.776,1.517,5.26,ASAP-0011135,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC(F)=C2OC2=CC=CC=C21,2023-05-30
0.009,0.008,0.011,1.136,8.04,ASAP-0011129,CNC(=O)C1(N2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)CC1,2023-05-23
4.941,4.053,6.024,1.225,5.31,ASAP-0011126,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(C1CC1)C2,2023-05-23
19.890,16.326,24.232,1.288,4.7,ASAP-0011128,"O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)[C@]12CC[C@H](C1)N(CC1COC1)C2 |&1:22,&2:25|",2023-05-23
0.740,0.694,0.79,1.56,6.13,ASAP-0011130,CC(=O)C1=CC=CC(CN2CCN(C(=O)COS(=O)(=O)N3CCOCC3)C[C@H]2CC(C)C)=C1 |&1:27|,2023-05-23
16.860,15.222,18.674,1.355,4.77,ASAP-0011131,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC3=C2OC=C3)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-23
0.413,0.396,0.431,1.054,6.38,ASAP-0011067,CN1C(=O)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C21 |o1:4|,2023-05-17
91.109,84.202,98.582,2.058,4.04,ASAP-0011065,CN1C(=O)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C21 |o1:4|,2023-05-17
1.723,1.595,1.86,1.019,5.76,ASAP-0011041,C=CC(=O)N(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-06
5.265,4.301,6.447,1.078,5.28,ASAP-0011044,C=CC(=O)NC1=CC=C(F)C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-06
16.392,12.929,20.783,1.114,4.79,ASAP-0011043,C=CC(=O)NC1=CC=CC(N(CC2=CC(Cl)=CC=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-06
60.040,45.913,78.514,0.897,4.22,ASAP-0011042,C=CC(=O)NC1=CC=CC(N(CC2=CC=C(Cl)C=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-06
8.253,6.897,9.876,1.437,5.08,ASAP-0011040,C=CC(=O)N1CCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2023-05-06
3.957,3.409,4.593,1.18,5.4,ASAP-0011039,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(CC1COC1)C2,2023-05-06
15.528,11.18,21.567,0.724,4.81,ASAP-0011017,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=COC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-05-01
3.626,3.049,4.313,1.035,5.44,ASAP-0010940,O=C1N[C@]2(CCOC3=CC=C(C(F)F)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,2023-05-01
18.581,17.109,20.18,1.214,4.73,ASAP-0010910,CN1C(=O)C2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |&1:11|,2023-05-01
1.257,1.137,1.391,1.062,5.9,ASAP-0010746,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:46|",2023-04-25
0.082,0.067,0.1,1.479,7.09,ASAP-0010748,"O=C1CC[C@H](N2C(=O)C3=CC=C(N4CCN(C5=CC=C(NC(=O)CN6CC7=CC=C(Cl)C=C7[C@H](C(=O)NC7=CN=CC8=CC=CC=C78)C6)C=C5)CC4)C=C3C2=O)C(=O)N1 |&1:4,&2:33|",2023-04-25
0.161,0.151,0.172,1.083,6.79,ASAP-0010742,CN[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:7|,2023-04-25
0.442,0.405,0.484,1.06,6.35,ASAP-0010750,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:52|",2023-04-25
0.720,0.428,1.212,2.244,6.14,ASAP-0010751,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCNC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:49|",2023-04-25
0.238,0.23,0.248,1.673,6.62,ASAP-0010753,"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:25,31|",2023-04-25
46.683,44.098,49.419,1.836,4.33,ASAP-0010713,CO[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,2023-04-21
1.316,0.931,1.86,0.905,5.88,ASAP-0010721,"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CCCC[C@H]21 |&1:25,&2:30|",2023-04-21
0.072,0.068,0.076,1.434,7.14,ASAP-0010724,CC(=O)N1CCN(S(=O)(=O)OCC(=O)N2CCN(CC3=CC=CC(Cl)=C3)[C@H](CC(C)C)C2)CC1 |&1:26|,2023-04-21
1.124,0.846,1.495,0.981,5.95,ASAP-0010719,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(F)=C1 |&1:4|,2023-04-21
0.362,0.34,0.386,1.083,6.44,ASAP-0010714,CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,2023-04-21
0.101,0.096,0.106,1.019,7.0,ASAP-0010725,C=C1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@]12CN(CC1=CC=C(OC)C=C1OC)C(=O)C1=CC=C(F)C=C12 |&1:16|,2023-04-21
0.181,0.17,0.192,1.115,6.74,ASAP-0010711,CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,2023-04-21
0.161,0.15,0.173,1.36,6.79,ASAP-0010726,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC(Cl)=CC2=CC=CC=C12 |&1:4|,2023-04-21
0.059,0.055,0.064,0.964,7.23,ASAP-0010734,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:43|",2023-04-21
0.156,0.127,0.191,0.774,6.81,ASAP-0010735,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:45|",2023-04-21
0.337,0.322,0.351,1.031,6.47,ASAP-0010736,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:49|",2023-04-21
0.179,0.172,0.187,1.05,6.75,ASAP-0010722,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C/C2=C\F)C2=CC(Cl)=CC=C2C1=O |&1:7|,2023-04-21
1.054,0.884,1.258,1.02,5.98,ASAP-0008667,CNC(=O)[C@@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,2023-04-16
0.108,0.102,0.115,1.151,6.96,ASAP-0008675,CNCCN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:6|,2023-04-16
0.143,0.137,0.149,1.047,6.84,ASAP-0008669,C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,2023-04-16
0.493,0.472,0.514,1.061,6.31,ASAP-0008661,"CNC(=O)CN1C[C@@]2(C[C@H](CO)N(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |&1:7,9|",2023-04-16
16.595,15.619,17.632,1.103,4.78,ASAP-0008663,C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,2023-04-16
0.037,0.035,0.039,1.06,7.43,ASAP-0008665,CNC(=O)[C@@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,2023-04-16
0.013,0.012,0.013,1.133,7.89,ASAP-0008659,O=C(NCC1=CC=CS1)[C@@H]1CN(C(=O)C2=CN=CC3=CC=CC=C23)CCN1C1=CC=C(Cl)C(Cl)=C1,2023-04-16
0.205,0.19,0.221,1.179,6.69,ASAP-0008671,CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,2023-04-16
0.078,0.075,0.081,1.027,7.11,ASAP-0008672,CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,2023-04-16
1.121,1.069,1.175,1.059,5.95,ASAP-0008634,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC(F)=CC=C1F)C1CCCC1,2023-04-05
98.973,87.792,111.579,1.232,4.0,ASAP-0008624,O=C(CC1=CN=CC2=CC=CC=C12)NC1=CC=CC=C1,2023-04-05
31.405,28.778,34.273,1.103,4.5,ASAP-0008625,N#CC1=CC=CC(NC(=O)CC2=CN=CC3=CC=CC=C23)=C1,2023-04-05
31.125,28.872,33.554,1.109,4.51,ASAP-0008626,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C=CC=C2C1,2023-04-05
7.474,6.87,8.131,1.12,5.13,ASAP-0008627,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)C1CCC1,2023-04-05
5.358,5.098,5.632,1.127,5.27,ASAP-0008629,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCCC[C@H]1C1=CC=CC=C1 |&1:20|,2023-04-05
28.356,26.233,30.649,1.112,4.55,ASAP-0008631,CN(C)C(=O)CN(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,2023-04-05
